User,UserID,Query,TweetID,Created_At,Mention
jaime_rojas_c,209615343,Dodgers,1056294804156547072,2018-10-27 21:21:20,YouTube
Pyburn7,410225874,Dodgers,1056294803976151045,2018-10-27 21:21:20,Dodgers
Paul94065442,1033320198831390720,Dodgers,1056294800104849409,2018-10-27 21:21:20,KISSOnline
Paul94065442,1033320198831390720,Dodgers,1056294800104849409,2018-10-27 21:21:20,YasielPuig
Paul94065442,1033320198831390720,Dodgers,1056294800104849409,2018-10-27 21:21:20,genesimmons
medranoroberto,153182586,Dodgers,1056294800050114560,2018-10-27 21:21:19,Dodgers
medranoroberto,153182586,Dodgers,1056294800050114560,2018-10-27 21:21:19,RedSox
NikkiAcosta86,4502575994,Dodgers,1056294799941091329,2018-10-27 21:21:19,MLBNetwork
NikkiAcosta86,4502575994,Dodgers,1056294799941091329,2018-10-27 21:21:19,Dodgers
NikkiAcosta86,4502575994,Dodgers,1056294799941091329,2018-10-27 21:21:19,maxmuncy9
ComptonMeeko,1046582934554140672,Dodgers,1056294795478351872,2018-10-27 21:21:18,TitanicBaseball
ComptonMeeko,1046582934554140672,Dodgers,1056294795478351872,2018-10-27 21:21:18,latsondheimer
ComptonMeeko,1046582934554140672,Dodgers,1056294795478351872,2018-10-27 21:21:18,Dodgers
QueenDuck07,16211349,Dodgers,1056294793817526274,2018-10-27 21:21:18,ArashMarkazi
amanda522,27494415,Dodgers,1056294786930487301,2018-10-27 21:21:16,amanda522
dasertine,61079268,Dodgers,1056294786657771520,2018-10-27 21:21:16,dasertine
dasertine,61079268,Dodgers,1056294786657771520,2018-10-27 21:21:16,Dodgers
AlmaRdgz,954842792,Dodgers,1056294775756713984,2018-10-27 21:21:14,angelicavale
AlmaRdgz,954842792,Dodgers,1056294775756713984,2018-10-27 21:21:14,Dodgers
AnnetteOrr12,4325329402,Dodgers,1056294774645366784,2018-10-27 21:21:13,CullerSports
killasugah,967640807179243520,Dodgers,1056294766177144834,2018-10-27 21:21:11,Tuff_Overlord
elizabeth19734,2388339114,Dodgers,1056294765803667456,2018-10-27 21:21:11,Dodgers
ColinJacobss,2318306216,Dodgers,1056294758845272065,2018-10-27 21:21:10,Dodgers
WildBillBasebal,901503886036357121,Dodgers,1056294752407117825,2018-10-27 21:21:08,Dodgers
brenborden,17157219,Dodgers,1056294749815087106,2018-10-27 21:21:08,TwitterMoments
Chris_1791,312149882,Dodgers,1056294747810066432,2018-10-27 21:21:07,latimes
JesusGtz_0730,760240462057709568,Dodgers,1056294745201209346,2018-10-27 21:21:06,SoyReferee
OCRegSports,28429659,Dodgers,1056294742177177600,2018-10-27 21:21:06,billplunkettocr
kishenbera,106836936,Dodgers,1056294740142940160,2018-10-27 21:21:05,IEjumpman909
kishenbera,106836936,Dodgers,1056294740142940160,2018-10-27 21:21:05,Dodgers
Xitlallilara13,611991003,Dodgers,1056294738431639552,2018-10-27 21:21:05,Dodgers
peterjfrank,181650420,Dodgers,1056294737945206784,2018-10-27 21:21:05,zach_donahue
peterjfrank,181650420,Dodgers,1056294737945206784,2018-10-27 21:21:05,Dodgers
BCarlin22,459802045,Dodgers,1056294736519061504,2018-10-27 21:21:04,Dodgers
Michael_Rokicki,47493646,Dodgers,1056294721075666944,2018-10-27 21:21:01,ByCharlieRicker
Michael_Rokicki,47493646,Dodgers,1056294721075666944,2018-10-27 21:21:01,BillNye
QueenDuck07,16211349,Dodgers,1056294720274661376,2018-10-27 21:21:00,MlbStream
ALLmeJohnny,1526907428,Dodgers,1056294718521266176,2018-10-27 21:21:00,Dodgers
ALLmeJohnny,1526907428,Dodgers,1056294718521266176,2018-10-27 21:21:00,jaragis08
ALLmeJohnny,1526907428,Dodgers,1056294718521266176,2018-10-27 21:21:00,Cody_Bellinger
jessesanchez,13118932,Dodgers,1056294710682169344,2018-10-27 21:20:58,tcafla
