User,UserID,Query,ResultID,ResultCreated_At,RTUser,RTID,RT_created_at,RT_text
Angel__Cee,763093656,Dodgers,1056294909131378688,2018-10-27 21:21:46,Dodgers,1056097127560994816,2018-10-27 08:15:51,Damage done. #LADetermined https://t.co/3SxbBAGhCX
graciedodson_,715039938,Dodgers,1056294906774249472,2018-10-27 21:21:45,nickjonas,1056231456559616000,2018-10-27 17:09:37,Little throwback to a @Dodgers game earlier this season with @ThomasRhett. Lets get another W tonight boys  https://t.co/D2m8ucYIOn
redcirclearmy,72669207,Dodgers,1056294895294402565,2018-10-27 21:21:42,LAPDStoecklein,1055680676819660800,2018-10-26 04:41:01,Excited the Dodgers are back on the West Coast- and that @LAPDChiefMoore approved officers wearing Dodgers hats during World Series! Lets go Dodgers!!!!  Feeling the energy! #LADetermined https://t.co/6xPDSdJegB
22castrou,3096999978,Dodgers,1056294885194522624,2018-10-27 21:21:40,DodgersNation,1056290487311581184,2018-10-27 21:04:11,#Dodgers #LineupFun #Game4 Ice Man 1BI cant believe what I just saw 2BGinger Jesus 3BSHOW ME THE MANNY SSCANON from Center CFBat Licker RFCT3 LFHe Who Catches from the Canon CDICK MOUNTAIN PLets tie this #WorldSeries UP https://t.co/cElgh3cg3e
DaveBismo,833063585328791552,Dodgers,1056294883214979075,2018-10-27 21:21:39,guerinaustin,1056286853542760448,2018-10-27 20:49:45,#WorldSeries Game 4#RedSox at #Dodgers: Betts CF Benintendi LF Pearce 1B Martinez RF Bogaerts SS Nunez 3B Holt 2B Vazquez C Rodriguez LHP.
AntheaKim1,982523931654406144,Dodgers,1056294882954735616,2018-10-27 21:21:39,chelsluvbts,1055981483238731776,2018-10-27 00:36:19,Theyre playing idol at the dodgers stadium  #bts #dodgers https://t.co/ml6nqwkfjl
MegaQuack24,2900104683,Dodgers,1056294879893032960,2018-10-27 21:21:39,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
Andreaaa__xo,609630145,Dodgers,1056294876768219136,2018-10-27 21:21:38,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
HollywoodLonTV,1934893134,Dodgers,1056294864051232769,2018-10-27 21:21:35,voguemagazine,1056287531363373056,2018-10-27 20:52:27,Harry Styless Halloween costume was a spot-on imitation of Elton Johns iconic sparkle-covered Dodgers uniform which he originally wore in 1975. https://t.co/QzUHkAf2Ax
dettmers_alex,1645984045,Dodgers,1056294863132516352,2018-10-27 21:21:35,DarienJ4,1056277628473098240,2018-10-27 20:13:05,Lakers &amp; Dodgers both walking away with Ws tonight. Speaking it into existence
markky_h,1010531651288477696,Dodgers,1056294863015198720,2018-10-27 21:21:35,MLBNetwork,1056206637348806656,2018-10-27 15:31:00,You werent dreaming @Dodgers fans!Relive @maxmuncy9s 18th inning walk-off blast via #BallparkCam! https://t.co/kbbtTEVJ14
Trill_REALigion,173320191,Dodgers,1056294859236130821,2018-10-27 21:21:34,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
hesoulove,1017244800859492352,Dodgers,1056294857721946112,2018-10-27 21:21:33,voguemagazine,1056287531363373056,2018-10-27 20:52:27,Harry Styless Halloween costume was a spot-on imitation of Elton Johns iconic sparkle-covered Dodgers uniform which he originally wore in 1975. https://t.co/QzUHkAf2Ax
