index_count,rows,words
87,"[0.0, 0.011494252873563218, 0.0, 0.0, 0.1724137931034483, 0.42528735632183906, 0.4367816091954023, 0.12643678160919541, 0.0, 0.0, 1.0, 0.011494252873563218, 0.4482758620689655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42528735632183906, 0.0, 0.0, 0.011494252873563218, 0.0, 0.0, 0.0, 0.5977011494252874, 0.5402298850574713, 0.05747126436781609, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1724137931034483, 0.0, 0.011494252873563218, 0.0, 0.011494252873563218, 0.05747126436781609, 0.4827586206896552, 0.0, 0.4367816091954023, 0.4827586206896552, 0.022988505747126436, 0.034482758620689655, 0.0, 0.011494252873563218, 0.0, 0.0, 0.0, 0.4482758620689655, 0.011494252873563218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04597701149425287, 0.5632183908045977, 0.0, 0.04597701149425287, 0.0, 0.0, 0.42528735632183906, 0.0, 0.08045977011494253, 0.4827586206896552, 0.0, 0.011494252873563218, 0.0, 0.0, 0.011494252873563218, 0.0, 0.0, 0.0, 0.0, 0.42528735632183906, 0.011494252873563218]",nra
78,"[0.07692307692307693, 0.08974358974358974, 0.15384615384615385, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.01282051282051282, 0.10256410256410256, 0.1282051282051282, 0.19230769230769232, 0.01282051282051282, 1.0, 0.11538461538461539, 0.0, 0.14102564102564102, 0.038461538461538464, 0.01282051282051282, 0.05128205128205128, 0.0, 0.0641025641025641, 0.05128205128205128, 0.05128205128205128, 0.05128205128205128, 0.08974358974358974, 0.038461538461538464, 0.038461538461538464, 0.2564102564102564, 0.7435897435897436, 0.01282051282051282, 0.01282051282051282, 0.0, 0.0, 0.01282051282051282, 0.0, 0.16666666666666666, 0.02564102564102564, 0.0641025641025641, 0.0, 0.05128205128205128, 0.038461538461538464, 0.20512820512820512, 0.0, 0.02564102564102564, 0.15384615384615385, 0.0641025641025641, 0.07692307692307693, 0.038461538461538464, 0.01282051282051282, 0.2564102564102564, 0.05128205128205128, 0.0, 0.3717948717948718, 0.08974358974358974, 0.15384615384615385, 0.0, 0.038461538461538464, 0.0641025641025641, 0.05128205128205128, 0.05128205128205128, 0.0641025641025641, 0.6794871794871795, 0.21794871794871795, 0.07692307692307693, 0.0641025641025641, 0.01282051282051282, 0.0, 0.08974358974358974, 0.10256410256410256, 0.28205128205128205, 0.07692307692307693, 0.10256410256410256, 0.02564102564102564, 0.0, 0.01282051282051282, 0.0, 0.19230769230769232, 0.038461538461538464, 0.038461538461538464, 0.01282051282051282, 0.05128205128205128]",amp
252,"[0.5436507936507936, 0.5436507936507936, 0.051587301587301584, 0.1984126984126984, 0.05952380952380952, 0.1626984126984127, 0.14682539682539683, 0.24206349206349206, 0.1388888888888889, 0.027777777777777776, 0.15476190476190477, 0.03571428571428571, 1.0, 0.1984126984126984, 0.15873015873015872, 0.051587301587301584, 0.003968253968253968, 0.09126984126984126, 0.05952380952380952, 0.3531746031746032, 0.09126984126984126, 0.031746031746031744, 0.0, 0.25793650793650796, 0.09126984126984126, 0.0, 0.2261904761904762, 0.8412698412698413, 0.14285714285714285, 0.1626984126984127, 0.003968253968253968, 0.0, 0.15476190476190477, 0.09126984126984126, 0.027777777777777776, 0.10714285714285714, 0.003968253968253968, 0.031746031746031744, 0.023809523809523808, 0.0, 0.15079365079365079, 0.003968253968253968, 0.21031746031746032, 0.14682539682539683, 0.003968253968253968, 0.11904761904761904, 0.027777777777777776, 0.01984126984126984, 0.031746031746031744, 0.003968253968253968, 0.003968253968253968, 0.8095238095238095, 0.21428571428571427, 0.05555555555555555, 0.0, 0.003968253968253968, 0.0873015873015873, 0.11507936507936507, 0.0, 0.011904761904761904, 0.8650793650793651, 0.06746031746031746, 0.14682539682539683, 0.01984126984126984, 0.0, 0.28174603174603174, 0.003968253968253968, 0.047619047619047616, 0.4166666666666667, 0.20634920634920634, 0.007936507936507936, 0.027777777777777776, 0.003968253968253968, 0.04365079365079365, 0.14285714285714285, 0.023809523809523808, 0.0, 0.003968253968253968, 0.34523809523809523, 0.10317460317460317]",victims
88,"[0.6931818181818182, 0.6931818181818182, 0.11363636363636363, 0.8522727272727273, 0.0, 0.0, 0.375, 0.17045454545454544, 0.011363636363636364, 0.0, 0.0, 0.0, 0.5681818181818182, 1.0, 0.011363636363636364, 0.13636363636363635, 0.0, 0.0, 0.17045454545454544, 0.8409090909090909, 0.0, 0.011363636363636364, 0.0, 0.0, 0.26136363636363635, 0.0, 0.4318181818181818, 0.8295454545454546, 0.0, 0.13636363636363635, 0.0, 0.0, 0.0, 0.26136363636363635, 0.0, 0.0, 0.13636363636363635, 0.0, 0.0, 0.011363636363636364, 0.011363636363636364, 0.0, 0.17045454545454544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9090909090909091, 0.0, 0.011363636363636364, 0.0, 0.13636363636363635, 0.0, 0.0, 0.0, 0.11363636363636363, 0.8409090909090909, 0.0, 0.0, 0.0, 0.0, 0.26136363636363635, 0.26136363636363635, 0.0, 0.9659090909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8409090909090909, 0.0]",temple
168,"[0.27380952380952384, 0.27976190476190477, 0.08928571428571429, 0.011904761904761904, 0.13690476190476192, 0.07738095238095238, 0.0, 0.05357142857142857, 0.5773809523809523, 0.16666666666666666, 0.0, 0.06547619047619048, 0.23809523809523808, 0.005952380952380952, 1.0, 0.0, 0.005952380952380952, 0.22023809523809523, 0.0, 0.0, 0.22023809523809523, 0.05952380952380952, 0.0, 0.20238095238095238, 0.0, 0.0, 0.005952380952380952, 0.7023809523809523, 0.023809523809523808, 0.0, 0.011904761904761904, 0.023809523809523808, 0.07738095238095238, 0.0, 0.08333333333333333, 0.19047619047619047, 0.005952380952380952, 0.0, 0.10714285714285714, 0.0, 0.16666666666666666, 0.0, 0.0, 0.125, 0.047619047619047616, 0.011904761904761904, 0.02976190476190476, 0.005952380952380952, 0.08333333333333333, 0.0, 0.017857142857142856, 0.5833333333333334, 0.22023809523809523, 0.13095238095238096, 0.023809523809523808, 0.0, 0.13095238095238096, 0.023809523809523808, 0.0, 0.023809523809523808, 0.6488095238095238, 0.16666666666666666, 0.07738095238095238, 0.05357142857142857, 0.06547619047619048, 0.0, 0.047619047619047616, 0.10119047619047619, 0.047619047619047616, 0.1488095238095238, 0.023809523809523808, 0.11904761904761904, 0.011904761904761904, 0.0, 0.005952380952380952, 0.16071428571428573, 0.047619047619047616, 0.0, 0.0, 0.17261904761904762]",jewish
122,"[0.11475409836065574, 0.11475409836065574, 0.01639344262295082, 0.09836065573770492, 0.00819672131147541, 0.0, 0.0, 0.0, 0.0, 0.01639344262295082, 0.0, 0.02459016393442623, 0.10655737704918032, 0.09836065573770492, 0.0, 1.0, 0.0, 0.0, 0.8442622950819673, 0.09836065573770492, 0.0, 0.0, 0.8442622950819673, 0.00819672131147541, 0.8442622950819673, 0.8688524590163934, 0.0, 0.8770491803278688, 0.0, 0.09836065573770492, 0.0, 0.00819672131147541, 0.860655737704918, 0.8442622950819673, 0.0, 0.0, 0.0, 0.0, 0.01639344262295082, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00819672131147541, 0.00819672131147541, 0.8442622950819673, 0.8524590163934426, 0.0, 0.8688524590163934, 0.8442622950819673, 0.9672131147540983, 0.0, 0.0, 0.00819672131147541, 0.8524590163934426, 0.8688524590163934, 0.0, 0.8688524590163934, 0.0, 0.9754098360655737, 0.00819672131147541, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9426229508196722, 0.00819672131147541, 0.00819672131147541, 0.0, 0.0, 0.0, 0.0, 0.00819672131147541, 0.0, 0.8934426229508197, 0.09836065573770492, 0.00819672131147541]",ar-15
89,"[0.06741573033707865, 0.06741573033707865, 0.6741573033707865, 0.0, 0.0, 0.14606741573033707, 0.0, 0.011235955056179775, 0.033707865168539325, 0.6853932584269663, 0.0, 0.011235955056179775, 0.011235955056179775, 0.0, 0.011235955056179775, 0.0, 1.0, 0.6853932584269663, 0.0, 0.0, 0.6853932584269663, 0.011235955056179775, 0.0, 0.011235955056179775, 0.0, 0.0, 0.0, 0.9775280898876404, 0.011235955056179775, 0.0449438202247191, 0.651685393258427, 0.011235955056179775, 0.06741573033707865, 0.0, 0.0, 0.011235955056179775, 0.011235955056179775, 0.056179775280898875, 0.011235955056179775, 0.056179775280898875, 0.02247191011235955, 0.651685393258427, 0.0, 0.011235955056179775, 0.056179775280898875, 0.0449438202247191, 0.651685393258427, 0.11235955056179775, 0.0449438202247191, 0.0, 0.0449438202247191, 0.29213483146067415, 0.0898876404494382, 0.011235955056179775, 0.011235955056179775, 0.0, 0.02247191011235955, 0.033707865168539325, 0.0, 0.651685393258427, 0.3146067415730337, 0.0898876404494382, 0.033707865168539325, 0.651685393258427, 0.0, 0.02247191011235955, 0.12359550561797752, 0.0, 0.02247191011235955, 0.011235955056179775, 0.6629213483146067, 0.15730337078651685, 0.651685393258427, 0.0, 0.0449438202247191, 0.6853932584269663, 0.033707865168539325, 0.0, 0.0, 0.1348314606741573]",scene
147,"[0.1836734693877551, 0.19047619047619047, 0.42857142857142855, 0.0, 0.006802721088435374, 0.0, 0.0, 0.05442176870748299, 0.3129251700680272, 0.46258503401360546, 0.0, 0.027210884353741496, 0.1564625850340136, 0.0, 0.25170068027210885, 0.0, 0.41496598639455784, 1.0, 0.0, 0.0, 1.0, 0.05442176870748299, 0.006802721088435374, 0.1564625850340136, 0.0, 0.0, 0.05442176870748299, 0.9659863945578231, 0.006802721088435374, 0.0, 0.3945578231292517, 0.14965986394557823, 0.1360544217687075, 0.0, 0.0, 0.1564625850340136, 0.006802721088435374, 0.013605442176870748, 0.006802721088435374, 0.0, 0.05442176870748299, 0.3945578231292517, 0.0, 0.013605442176870748, 0.02040816326530612, 0.14285714285714285, 0.4489795918367347, 0.05442176870748299, 0.08163265306122448, 0.0, 0.027210884353741496, 0.4421768707482993, 0.14285714285714285, 0.12244897959183673, 0.14965986394557823, 0.006802721088435374, 0.1360544217687075, 0.02040816326530612, 0.0, 0.3945578231292517, 0.4489795918367347, 0.061224489795918366, 0.10884353741496598, 0.3945578231292517, 0.07482993197278912, 0.0, 0.013605442176870748, 0.06802721088435375, 0.0, 0.14285714285714285, 0.42857142857142855, 0.05442176870748299, 0.3945578231292517, 0.0, 0.06802721088435375, 0.46258503401360546, 0.027210884353741496, 0.0, 0.0, 0.14285714285714285]",enforcement
124,"[0.5403225806451613, 0.5403225806451613, 0.024193548387096774, 1.0, 0.024193548387096774, 0.008064516129032258, 0.28225806451612906, 0.12903225806451613, 0.0, 0.016129032258064516, 0.0, 0.008064516129032258, 0.4032258064516129, 0.6048387096774194, 0.016129032258064516, 0.0967741935483871, 0.0, 0.0, 0.12096774193548387, 0.8548387096774194, 0.0, 0.0, 0.008064516129032258, 0.0, 0.18548387096774194, 0.0, 0.4032258064516129, 0.8064516129032258, 0.0, 0.0967741935483871, 0.0, 0.04838709677419355, 0.008064516129032258, 0.18548387096774194, 0.0, 0.0, 0.056451612903225805, 0.008064516129032258, 0.008064516129032258, 0.056451612903225805, 0.016129032258064516, 0.0, 0.1935483870967742, 0.016129032258064516, 0.06451612903225806, 0.03225806451612903, 0.04838709677419355, 0.024193548387096774, 0.0, 0.0, 0.04838709677419355, 0.8790322580645161, 0.04838709677419355, 0.0, 0.04838709677419355, 0.12096774193548387, 0.0, 0.056451612903225805, 0.0, 0.008064516129032258, 0.8629032258064516, 0.0, 0.04838709677419355, 0.0, 0.008064516129032258, 0.1935483870967742, 0.3467741935483871, 0.0, 0.9354838709677419, 0.0, 0.04032258064516129, 0.0, 0.0, 0.0, 0.0, 0.016129032258064516, 0.008064516129032258, 0.0, 0.5967741935483871, 0.0]",literally
158,"[0.4240506329113924, 0.4240506329113924, 0.012658227848101266, 0.6708860759493671, 0.0, 0.23417721518987342, 0.46835443037974683, 0.0949367088607595, 0.012658227848101266, 0.0, 0.23417721518987342, 0.03164556962025317, 0.5632911392405063, 0.46835443037974683, 0.0, 0.0759493670886076, 0.0, 0.0, 0.0949367088607595, 1.0, 0.0, 0.02531645569620253, 0.0189873417721519, 0.0, 0.14556962025316456, 0.0, 0.5632911392405063, 0.8734177215189873, 0.012658227848101266, 0.0759493670886076, 0.0, 0.0, 0.0, 0.14556962025316456, 0.02531645569620253, 0.0, 0.06962025316455696, 0.0, 0.006329113924050633, 0.0379746835443038, 0.0379746835443038, 0.0, 0.37341772151898733, 0.0379746835443038, 0.0, 0.03164556962025317, 0.0, 0.0, 0.0379746835443038, 0.0, 0.0, 0.8670886075949367, 0.0, 0.0, 0.0, 0.10759493670886076, 0.0, 0.0, 0.0, 0.006329113924050633, 0.8670886075949367, 0.02531645569620253, 0.0, 0.0379746835443038, 0.0, 0.379746835443038, 0.24050632911392406, 0.02531645569620253, 0.9493670886075949, 0.02531645569620253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7025316455696202, 0.0]",protection
